sentence,punc,numbers,spaces,characters,stopwords,position,order,noun,preposition,verb,adjectives,wordratio,overlaping_words,unique_words,title_words,selection,document_number
 انسانیت کی خدمت اور سماجی کاموں کا جذبہ زمانہ طالب علمی ہی سے ان میں موجود تھا ,0,0,0.225,1.403508772,0.421052632,0.210526316,12,0.052631579,0.421052632,0.157894737,0.263157895,0.01607394,0.789473684,-0.773399744,0,0,1
 لہذا وہ دانتوں کی جراحی کے میدان میں انسانیت کی خدمت میں مصروف ہو گئیں,0,0,0.211267606,1.245614035,0.4375,0.228070175,13,0,0.375,0.1875,0.125,0.014265622,0.75,-0.735734378,0,0,1
 ۱۹۲۹ء میں جب قائداعظم کی اہلیہ رتی جناح کا انتقال ہوا تو محترمہ فاطمہ جناح نے اپنے ڈاکٹری کے پیشے کو خیرباد کہ دیا اور قائداعظم کے پاس آئیں ,0,0.028368794,0.212765957,2.473684211,0.516129032,0.245614035,14,0.258064516,0.35483871,0.129032258,0.032258065,0.028330319,0.741935484,-0.713605164,0.096774194,1,1
 محترمہ فاطمہ جناح سیاست کے میدان میں قائداعظم کی معتمد ساتھی اور تحریک پاکستان میں ان کی معاون و مشیر رہیں ,0,0,0.203703704,1.894736842,0.391304348,0.263157895,15,0.173913043,0.304347826,0.130434783,0.130434783,0.021699819,0.826086957,-0.804387137,0.086956522,0,1
 انھوں نے ہر مشکل گھڑی میں اپنے بھائی کا ساتھ دیا ,0,0,0.24,0.877192982,0.461538462,0.280701754,16,0.076923077,0.461538462,0.076923077,0.153846154,0.010046213,0.846153846,-0.836107634,0,0,1
 قائداعظم جب گول میز کانفرنس میں شرکت کے لیے لندن گئے تو محترمہ فاطمہ جناح بھی ان کے ساتھ تھیں ,0,0,0.221052632,1.666666667,0.454545455,0.298245614,17,0.181818182,0.409090909,0.136363636,0.136363636,0.019087804,0.863636364,-0.84454856,0.090909091,0,1
 انھوں نے گول میز کانفرنس کے دوران قائداعظم کو نہایت اچھے سیاسی مشورے دیے ,0,0,0.202702703,1.298245614,0.375,0.315789474,18,0.1875,0.3125,0.0625,0.1875,0.014868395,0.8125,-0.797631605,0,1,1
" محترمہ فاطمہ اعلی تعلیم یافتہ ، نہایت دوراندیش اور بہت جراتمند خاتون تھیں ",0.013333333,0,0.186666667,1.315789474,0.266666667,0.333333333,19,0.066666667,0.066666667,0.066666667,0.133333333,0.015069319,0.733333333,-0.718264014,0.066666667,0,1
 انھوں نے مسلم خواتین کو بیدار کرنے اور انھیں ایک سیاسی پلیٹ فارم پر متحد کرنے میں نہایت اہم کردار ادا کیا ,0,0,0.214953271,1.877192982,0.458333333,0.350877193,20,0.125,0.333333333,0.166666667,0.375,0.021498895,0.875,-0.853501105,0,0,1
 انھوں نے اپنی ساری زندگی قومی مفادات کے لیے وقف کر دی ,0,0,0.236363636,0.964912281,0.428571429,0.368421053,21,0.142857143,0.357142857,0.214285714,0.214285714,0.011050834,0.714285714,-0.70323488,0,0,1
 انھوں نے ہر قدم پر قائداعظم کا ساتھ دیا ,0,0,0.243902439,0.719298246,0.454545455,0.385964912,22,0.181818182,0.454545455,0.090909091,0.181818182,0.008237894,0.909090909,-0.900853015,0,0,1
 عوامی جلسوں میں بھی وہ اپنے بھائی کے شانہ بشانہ شریک رہیں ,0,0,0.220338983,1.035087719,0.428571429,0.403508772,23,0,0.357142857,0.071428571,0.214285714,0.011854531,0.714285714,-0.702431183,0,0,1
" وہ خواتین کے قومی ، سیاسی اور سماجی کردار کے ساتھ ساتھ ان کے گھریلو کردار سے بھی براہ راست وابستہ تھیں ",0.009615385,0,0.221153846,1.824561404,0.375,0.421052632,24,0.041666667,0.333333333,0.041666667,0.375,0.020896122,0.875,-0.854103878,0,0,1
 انھوں نے مسلم خواتین کی سیاسی اور فکری راہنمائی کے ساتھ ساتھ خواتین کے عام گھریلو مسائل میں بھی ان کی راہنمائی اور حوصلہ افزائی کی ,0,0,0.204545455,2.315789474,0.392857143,0.438596491,25,0.071428571,0.428571429,0.107142857,0.25,0.026522001,0.857142857,-0.830620856,0,1,1
 محترمہ فاطمہ جناح نے خواتین کو تحریک پاکستان میں راہنمائی فراہم کی اور انھیں عملی سیاست کے میدان میں لانے کے لیے بھی بنیادی کردار ادا کیا ,0,0,0.201438849,2.438596491,0.448275862,0.456140351,26,0.172413793,0.413793103,0.206896552,0.206896552,0.027928471,0.896551724,-0.868623253,0.068965517,0,1
" بیگم محمد علی ، بیگم ہارون بیگم سلمیٰ تصدق حسین ، بیگم بشیر احمد ، بیگم شائستہ اکرام اللہ اور رعنا لیاقت علی خان کے ساتھ محترمہ فاطمہ جناح بھی آل انڈیا مسلم لیگ کی خواتین کمیٹی کی ممبر تھیں ",0.015706806,0,0.214659686,3.350877193,0.142857143,0.473684211,27,0.5,0.095238095,0.071428571,0.071428571,0.038376532,0.476190476,-0.437813944,0.047619048,1,1
 انھیں خواتین کے حلقے میں بےپناہ مقبولیت اور عزت حاصل رہی ,0,0,0.206896552,1.01754386,0.384615385,0.49122807,28,0,0.230769231,0.076923077,0.153846154,0.011653607,0.692307692,-0.680654086,0,0,1
 وہ خواتین کو عملی سیاست میں آنے کے لیے آمادہ کرتیں اور انھیں قومی میدان میں ہر قسم کی قربانی دینے کی ترغیب دیتی تھیں ,0,0,0.220338983,2.070175439,0.555555556,0.50877193,29,0.074074074,0.407407407,0.296296296,0.222222222,0.023709062,0.703703704,-0.679994642,0,0,1
 قائداعظم نے تحریک پاکستان کے دوران میں خواتین کے حوالے سے تمام امور کی نگرانی کا فریضہ محترمہ فاطمہ جناح کو سونپ رکھا تھا ,0,0,0.203252033,2.157894737,0.423076923,0.526315789,30,0.230769231,0.384615385,0.115384615,0,0.024713683,0.807692308,-0.782978625,0.076923077,0,1
 کوئٹہ کے مقام پر خواتین سے خطاب کرتے ہوئے محترمہ فاطمہ جناح نے فرمایا اب تک ہم مسلمان خواتین نے اپنی قوم کی کوئی خاص مدد نہیں کی حالانکہ اگر ہم لوگ بھی چاہتے تو بہت کچھ کام کا حصہ بٹا سکتے تھے ,0,0,0.226804124,3.403508772,0.555555556,0.543859649,31,0.133333333,0.355555556,0.2,0.088888889,0.038979305,0.8,-0.761020695,0.044444444,0,1
" اس وقت ہماری ضرورتیں چار ہیں یعنی اقتصادی ، معاشرتی تعلیمی اور سیاسی ",0.014285714,0,0.2,1.228070175,0.333333333,0.561403509,32,0,0.2,0.066666667,0.333333333,0.014064698,0.666666667,-0.652601969,0,0,1
" ہم کو چاہیے کہ ہم میں سے ہر ایک جس سے جتنا ہو سکے ، اپنی قوت اور اپنی حیثیت کے مطابق اپنے خاندان، اپنے ہمسائے ، اپنے دوستوں اور عزیزوں میں عملی قوت کی روح پھونک کر اس میں قومیت کا جذبہ پیدا کرے ",0.015384615,0,0.235897436,3.421052632,0.553191489,0.578947368,33,0.021276596,0.425531915,0.127659574,0.085106383,0.039180229,0.680851064,-0.641670835,0,0,1
 اس طرح ہم اپنی قوم کی کچھ مدد کر سکتے ہیں ,0,0,0.279069767,0.754385965,0.615384615,0.596491228,34,0,0.461538462,0.307692308,0.076923077,0.008639743,0.923076923,-0.91443718,0,0,1
 قیام پاکستان کے بعد بھی ان کی قومی خدمات کا سلسلہ جاری رہا ,0,0,0.233333333,1.052631579,0.466666667,0.614035088,35,0.133333333,0.333333333,0.266666667,0.133333333,0.012055455,1,-0.987944545,0,1,1
 انھوں نے بیماری کے دوران میں قائداعظم کی بےپناہ خدمت کی ,0,0,0.210526316,1,0.384615385,0.631578947,36,0.153846154,0.538461538,0.153846154,0.076923077,0.011452682,0.923076923,-0.911624241,0,0,1
 وہ ہمہ وقت ان کے ساتھ رہیں ,0,0,0.285714286,0.49122807,0.444444444,0.649122807,37,0,0.444444444,0.111111111,0.111111111,0.005625879,0.888888889,-0.88326301,0,0,1
 سرکاری کاموں میں بھی ان کا ہاتھ بٹاتی رہیں ,0,0,0.227272727,0.771929825,0.454545455,0.666666667,38,0,0.363636364,0.090909091,0.090909091,0.008840667,0.727272727,-0.71843206,0,0,1
 تعلیم نسواں کے لیے بھی محترمہ فاطمہ جناح کی خدمات سے انکار ممکن نہیں ,0,0,0.214285714,1.228070175,0.375,0.684210526,39,0.125,0.3125,0.125,0.125,0.014064698,0.8125,-0.798435302,0.125,0,1
 انھوں نے اپوا کے پلیٹ فارم سے تعلیمی خدمات کا ایک سلسلہ جاری کیا ,0,0,0.227272727,1.157894737,0.375,0.701754386,40,0.0625,0.4375,0.125,0.1875,0.013261001,1,-0.986738999,0,0,1
 وہ اپوا کی سرپرست رہیں اور ہر سرپرست رہیں اور ہر سطح پر انھوں نے اپنی بےمثال اور قائدانہ صلاحیتوں کا لوہا منوایا ,0,0,0.210526316,2,0.52,0.719298246,41,0.04,0.32,0.12,0.36,0.022905365,0.76,-0.737094635,0,1,1
 اپوا کے علاوہ وہ کئی اور تنظیموں کی بھی سرپرست تھیں ,0,0,0.226415094,0.929824561,0.538461538,0.736842105,42,0,0.384615385,0.153846154,0.153846154,0.010648985,0.769230769,-0.758581784,0,0,1
 ان کی یہ سرپرستی برائے نام نہیں تھی بلکہ ہر تنظیم کے دائرہ کار میں رہتے ہوئے انھوں نے ایک کارکن کی حیثیت سے اپنے منصبی فرائض کو پورا کرنے کے لیے کام کیا ,0,0,0.227272727,2.701754386,0.611111111,0.754385965,43,0.055555556,0.5,0.222222222,0.111111111,0.030942335,0.666666667,-0.635724332,0,0,1
 قیام پاکستان کے فوراً بعد پیدا ہونے والے مسائل کے حل میں وہ عملا شریک کار رہیں ,0,0,0.225,1.403508772,0.421052632,0.771929825,44,0.052631579,0.263157895,0.210526316,0.105263158,0.01607394,0.736842105,-0.720768165,0,0,1
 خاص طور پر مہاجرین کی آبادکاری اور کشمیری مہاجرین کی دستگیری میں ان کی خدمات آب زر سے لکھنے کے لائق ہیں ,0,0,0.219047619,1.842105263,0.458333333,0.789473684,45,0.041666667,0.416666667,0.208333333,0.208333333,0.021097046,0.583333333,-0.562236287,0,1,1
 قائداعظم کی وفات کے بعد وہ عملی سیاست سے کنارہ کش ہو گئیں مگر سماجی حوالے سے ان کی خدمات کا سلسلہ جاری رہا ,0,0,0.231481481,1.894736842,0.461538462,0.807017544,46,0.038461538,0.346153846,0.230769231,0.153846154,0.021699819,0.884615385,-0.862915565,0,1,1
 محترمہ فاطمہ جناح عظیم خاتون رہنما تھیں ,0,0,0.195121951,0.719298246,0.111111111,0.824561404,47,0.333333333,0,0.111111111,0.222222222,0.008237894,0.777777778,-0.769539883,0.222222222,0,1
 قومی اور ملی خدمات کے حوالے سے قوم نے انھیں مادر ملت یعنی قوم کی ماں کا لقب دیا ,0,0,0.24691358,1.421052632,0.428571429,0.842105263,48,0.095238095,0.285714286,0.142857143,0.238095238,0.016274864,0.761904762,-0.745629898,0.095238095,1,1
 وہ سچی اور پُرخلوص مسلمان تھیں ,0,0,0.21875,0.561403509,0.375,0.859649123,49,0,0.125,0.125,0.5,0.006429576,0.875,-0.868570424,0,0,1
 اعلیٰ انگریزی تعلیم وتربیت کے باوجود وہ اسلامی تعلیمات کی سچی پیروکار تھیں ,0,0,0.184210526,1.333333333,0.266666667,0.877192982,50,0.133333333,0.266666667,0.133333333,0.4,0.015270243,0.733333333,-0.71806309,0,0,1
 عالم اسلام کا اتحاد اور پاکستان میں اسلامی نظام فکر کی ترویج ان کا خواب تھا ,0,0,0.220779221,1.350877193,0.388888889,0.894736842,51,0.222222222,0.333333333,0.111111111,0.111111111,0.015471167,0.666666667,-0.651195499,0,0,1
 وہ اپنی زندگی کے آخری لمحات تک اس خواب کو شرمندہ تعبیر کرنے کے لیے کوشاں رہیں ,0,0,0.227848101,1.385964912,0.526315789,0.912280702,52,0.052631579,0.368421053,0.157894737,0.263157895,0.015873016,0.736842105,-0.720969089,0,0,1
 ایک موقعے پر تقریر کرتے ہوئے انھوں نے فرمایا اگر ہم واقعی یہ چاہتے ہیں کہ پاکستان کو صیح اسلامی مملکت بنایا جائے تو اس کے لیے کچھ اسلامی تعلیمات کا اجرا بہت ضروری ہے ,0,0,0.215568862,2.929824561,0.567567568,0.929824561,53,0.135135135,0.351351351,0.243243243,0.135135135,0.03355435,0.783783784,-0.750229434,0,0,1
 یہ ضرورت اسی صورت میں پوری ہو سکتی ہے کہ ہم اپنے تمام تعلیمی اداروں میں قرآن حکیم کی تعلیم کو باقاعدہ درسی نصاب میں شامل کر لیں تاکہ بچے اس کتاب علم و حکمت کے معنی و مطالب سے آگاہی حاصل کر سکیں اور قرآنی تعلیمات پر عمل پیرا ہو سکیں ,0,0,0.227467811,4.087719298,0.5,0.947368421,54,0.074074074,0.351851852,0.166666667,0.203703704,0.046815351,0.555555556,-0.508740205,0,0,1
 میری دلی تمنا ہے کہ تمام سکولوں میں قرآن حکیم کی تدریس کا فورا بندوبست ہو جائے ,0,0,0.225,1.403508772,0.473684211,0.964912281,55,0.105263158,0.210526316,0.210526316,0.052631579,0.01607394,0.631578947,-0.615505007,0,0,1
 محترمہ فاطمہ جناح نے 9 جولائی ۱۹۶۷ء کو وفات پائی ,0,0.1,0.22,0.877192982,0.166666667,0.98245614,56,0.416666667,0.166666667,0.083333333,0.083333333,0.010046213,0.75,-0.739953787,0.166666667,1,1
 انھیں قائداعظم محمد علی جناح کے مزار کے احاطے میں سپرد خاک کیا گیا ,0,0,0.220588235,1.192982456,0.375,1,57,0.25,0.3125,0.125,0.0625,0.013662849,0.75,-0.736337151,0.0625,1,1
"مری ، پنجاب کا تاریخی مقام ہے ",0.033333333,0,0.233333333,0.652173913,0.25,0.02173913,1,0.375,0.25,0.125,0.125,0.00761035,0.875,-0.86738965,0.125,1,2
 یہ ضلع راولپنڈی میں شامل ہے ,0,0,0.24137931,0.630434783,0.375,0.043478261,2,0.125,0.25,0.25,0.125,0.007356672,0.875,-0.867643328,0,0,2
 راولپنڈی کے شمال مشرق میں گاڑی کی تقریباً ایک ڈیڑھ گھنٹے کی مسافت پر واقع ہے ,0,0,0.217948718,1.695652174,0.388888889,0.065217391,3,0.166666667,0.333333333,0.166666667,0.111111111,0.01978691,0.611111111,-0.591324201,0,1,2
 سمندر کی سطح سے اس صحت افزا مقام کی بلندی تقریباً ساڑھے سات ہزار فٹ ہے ,0,0,0.236111111,1.565217391,0.277777778,0.086956522,4,0.055555556,0.277777778,0.166666667,0,0.01826484,0.5,-0.48173516,0,0,2
 یہاں اپریل سے نومبر تک بہت اچھا موسم رہتا ہے ,0,0,0.239130435,1,0.5,0.108695652,5,0.166666667,0.166666667,0.166666667,0.083333333,0.011669203,0.75,-0.738330797,0,0,2
 البتہ دسمبر سے مارچ تک شدید سردی پڑتی ہے ,0,0,0.238095238,0.913043478,0.272727273,0.130434783,6,0.181818182,0.181818182,0.181818182,0.090909091,0.01065449,0.727272727,-0.716618237,0,0,2
" دسمبر کے آخری عشرے سے لے کر فروری کے ابتدائی کا دورانیہ ، شدید برفباری کا زمانہ ہے ",0.011904762,0,0.226190476,1.826086957,0.4,0.152173913,7,0.1,0.4,0.15,0.15,0.02130898,0.7,-0.67869102,0,0,2
 اس دورانیے میں مری میں یخ بستہ موسم کا راج ہوتا ہے ,0,0,0.25,1.130434783,0.428571429,0.173913043,8,0.071428571,0.285714286,0.142857143,0,0.013191273,0.714285714,-0.701094441,0.071428571,0,2
 سردیوں میں بھی یہاں خوب رونق ہوتی ہے ,0,0,0.236842105,0.826086957,0.5,0.195652174,9,0,0.2,0.2,0.1,0.009639777,0.8,-0.790360223,0,0,2
 جب سارا علاقہ برف سے ڈھک جاتا ہے تو ملک بھر سے برفباری کا منظر دیکھنے کے شوقین یہاں پہنچ جاتے ہیں ,0,0,0.232323232,2.152173913,0.5,0.217391304,10,0.041666667,0.333333333,0.291666667,0.125,0.025114155,0.708333333,-0.683219178,0,0,2
 مری میں سردیوں کی شام بہت خوبصورت ہوتی ہے ,0,0,0.23255814,0.934782609,0.454545455,0.239130435,11,0.181818182,0.181818182,0.272727273,0.090909091,0.010908168,0.909090909,-0.898182741,0.090909091,0,2
 برقی قمقموں کی رنگارنگ روشنیوں میں یوں محسوس ہوتا ہے جیسے آسمان سے ستارے زمین پر اتر آئے ہیں ,0,0,0.212765957,2.043478261,0.428571429,0.260869565,12,0,0.285714286,0.285714286,0.142857143,0.023845764,0.476190476,-0.452344713,0,0,2
" ولفریب خوبصورتی اور دلکش نظاروں کی وجہ سے ، مری کو ملکہ کہسار کہا جاتا ہے ",0.013333333,0,0.226666667,1.630434783,0.388888889,0.282608696,13,0.111111111,0.166666667,0.222222222,0.111111111,0.019025875,0.666666667,-0.647640791,0.166666667,0,2
 گرمی کے موسم میں مری کی خنک ہوائیں لوگوں کو اپنی طرف کھینچتی ہیں ,0,0,0.227272727,1.434782609,0.5,0.304347826,14,0.125,0.375,0.1875,0.0625,0.01674277,0.75,-0.73325723,0.0625,0,2
 پاکستان کے مختلف علاقوں کے رہنے والے گرمی پڑتے ہی مری کا رُخ کرتے ہیں ,0,0,0.225352113,1.543478261,0.529411765,0.326086957,15,0.117647059,0.294117647,0.235294118,0.058823529,0.018011162,0.882352941,-0.864341779,0.058823529,1,2
 مری پاکستان بھر کے پرفضا پہاڑی مقامات میں سے نہایت معروف اور خوبصورت سیرگاہ ہے ,0,0,0.2,1.739130435,0.352941176,0.347826087,16,0.117647059,0.235294118,0.117647059,0.294117647,0.020294267,0.764705882,-0.744411615,0.058823529,0,2
 گرمیوں کے موسم میں ہر دوسرے تیسرے روز بارش ہوتی ہے  جس کی وجہ سے مری کا موسم بڑا سہانا ہو جاتا ہے ,0,0,0.252525253,2.152173913,0.5,0.369565217,17,0.038461538,0.269230769,0.230769231,0.115384615,0.025114155,0.692307692,-0.667193537,0.038461538,0,2
 اسلام آباد سے مری کی طرف جائیں تو راستے کے دونوں طرف موجود چیڑ اور صنوبر کے اونچے اور خوبصورت درخت سیاحوں کو خوش آمدید کہتے دکھائی دیتے ہیں ,0,0,0.212765957,3.065217391,0.483870968,0.391304348,18,0.129032258,0.35483871,0.225806452,0.225806452,0.035768645,0.709677419,-0.673908774,0.032258065,1,2
 تریٹ کے مقام سے آگے نکلتے ہی مری کا دلفریب موسم آنے والوں کو اپنی آغوش میں لے لیتا ہے ,0,0,0.24137931,1.891304348,0.590909091,0.413043478,19,0.136363636,0.363636364,0.227272727,0.045454545,0.022070015,0.772727273,-0.750657258,0.045454545,0,2
 بل کھاتی سڑک اور تھوڑے تھوڑے وقفے سے آتے پڑاو سیاحوں کو مبہوت کر دیتے ہیں ,0,0,0.226666667,1.630434783,0.5,0.434782609,20,0.111111111,0.277777778,0.277777778,0.222222222,0.019025875,0.722222222,-0.703196347,0,0,2
 انیسویں صدی کی تیسری دہائی میں انگریزوں نے مری میں کیمپ بنایا تو اس شہر کو مرکزی اہمیت حاصل ہوئی ,0,0,0.214285714,2.130434783,0.363636364,0.456521739,21,0.136363636,0.318181818,0.136363636,0.045454545,0.024860477,0.681818182,-0.656957705,0.045454545,0,2
" ۱۸۵۷ء کی جنگ آزادی میں جہاں برصغیر پاک و ہند کے مختلف علاقوں کے رہنے والوں نے انگریزی سامراج کے خلاف اپنے جذبات کا اظہار کیا ، وہاں مری کے رہنے والے بھی کسی سے پیچھے نہ رہے ",0.005747126,0.022988506,0.224137931,3.782608696,0.55,0.47826087,22,0.2,0.375,0.125,0.125,0.04414003,0.825,-0.78085997,0.025,1,2
" انھوں نے اپنی زمین سے انگریزوں کو نکالنے کے لیے گوریلا جنگ شروع کی اور اس میں خاصے کامیاب بھی رہے ، لیکن جب مجموعی طور پر برصغیر پاک و ہند میں ۱۸۵۷ء کی جنگِ آزادی میں مسلمانوں کو ناکامی ہوئی تو انگریزوں کو مری میں قدم جمانے کا موقع میسر آیا ",0.004132231,0.016528926,0.219008264,5.260869565,0.5,0.5,23,0.166666667,0.407407407,0.166666667,0.111111111,0.061390157,0.740740741,-0.679350583,0.018518519,1,2
 جب انگریزوں نے جنگِ آزادی کے مجاہدوں کو مختلف نوعیت کی سزاؤں سے گزارا تو اس خطے کے اُن فرزندوں کو توپ دم کیا گیا جو انگریزوں کے خلاف نبردآزما رہے ,0,0,0.217687075,3.195652174,0.454545455,0.52173913,24,0.121212121,0.424242424,0.151515152,0.181818182,0.037290715,0.666666667,-0.629375951,0,0,2
 آج بھی باغ شہیداں میں ان جانثاروں کی قبریں ان کی ہمت جرات اور حوصلے کی گواہ ہیں ,0,0,0.234567901,1.760869565,0.5,0.543478261,25,0.05,0.4,0.2,0.05,0.020547945,0.65,-0.629452055,0,0,2
 تحریک پاکستان میں بھی اہلِ مری کا کردار نمایاں رہا ہے ,0,0,0.218181818,1.195652174,0.384615385,0.565217391,26,0.153846154,0.230769231,0.153846154,0.153846154,0.013952308,0.615384615,-0.601432307,0.076923077,0,2
" پاکستان کے جن شہروں کو قائداعظم کے قدم چومنے کا شرف حاصل ہے ، ان میں مری بھی شامل ہے ",0.011627907,0,0.244186047,1.869565217,0.454545455,0.586956522,27,0.181818182,0.363636364,0.136363636,0.045454545,0.021816337,0.772727273,-0.750910936,0.045454545,0,2
" ۱۹۴۶ء میں قائد اعظم محمدعلی جناح ، مادرملت فاطمہ جناح کے ہمراہ کشمیر سے ہوتے ہوئے مری تشریف لائے اور مری کے معروف جی پی او چوک میں فرزندان اسلام سےخطاب کیا ",0.006369427,0.025477707,0.210191083,3.413043478,0.323529412,0.608695652,28,0.352941176,0.176470588,0.147058824,0.117647059,0.039827499,0.588235294,-0.548407795,0.058823529,0,2
 مری ایک مرکزی سڑک کے اردگرد آباد ہے جسے مال روڈ کہتے ہیں ,0,0,0.24137931,1.260869565,0.4,0.630434783,29,0.133333333,0.333333333,0.2,0.133333333,0.014713343,0.866666667,-0.851953323,0.066666667,0,2
 مال روڈ پر سیکڑوں ہوٹل ہیں ,0,0,0.25,0.608695652,0.25,0.652173913,30,0,0.25,0.125,0.125,0.007102993,0.875,-0.867897007,0,0,2
 یہاں باہر سے آنے والے سیاح قیام کرتے ہیں ,0,0,0.238095238,0.913043478,0.545454545,0.673913043,31,0,0.181818182,0.272727273,0,0.01065449,0.909090909,-0.898436419,0,0,2
 مری کے مال روڈ کی ایک تاریخی اور تہذیہی حیثیت ہے ,0,0,0.24,1.086956522,0.384615385,0.695652174,32,0.076923077,0.230769231,0.153846154,0.153846154,0.012683917,0.846153846,-0.833469929,0.076923077,0,2
 یہ جی پی او چوک سے شروع ہو کر پنڈی پوائنٹ تک جاتا ہے ,0,0,0.277777778,1.173913043,0.5,0.717391304,33,0.0625,0.25,0.375,0,0.01369863,1,-0.98630137,0,0,2
 اس کے دونوں طرف خوبصورت ہوٹل اور دکانیں موجود ہیں ,0,0,0.215686275,1.108695652,0.5,0.739130435,34,0,0.333333333,0.166666667,0.25,0.012937595,0.916666667,-0.903729072,0,0,2
 مری کے بازار میں ہر قسم کی چیزیں دستیاب ہیں جہاں سے سیاح اپنی ضرورت کی چیزیں اور تحائف خریدتے ہیں ,0,0,0.222222222,2.152173913,0.47826087,0.760869565,35,0.130434783,0.347826087,0.217391304,0.173913043,0.025114155,0.652173913,-0.627059758,0.043478261,0,2
 مری کے مال روڈ کے علاوہ پنڈی پوائنٹ کشمیر پوائنٹ اور باغ شہیداں بھی قابل دید مقامات ہیں ,0,0,0.213483146,1.934782609,0.25,0.782608696,36,0.1,0.3,0.05,0.1,0.022577372,0.9,-0.877422628,0.05,0,2
" مری کے گردونواح میں نیومری ، گھڑیال کیمپ اور بھوربن بھی دیکھنے سے تعلق رکھتے ہیں ",0.012195122,0,0.207317073,1.782608696,0.388888889,0.804347826,37,0.055555556,0.277777778,0.166666667,0.055555556,0.020801624,0.722222222,-0.701420599,0.055555556,0,2
 نیومری میں چیئرلفٹ اور کیبل کار سیاحوں کی دلچسپی کا محور ہیں ,0,0,0.209677419,1.347826087,0.357142857,0.826086957,38,0,0.428571429,0.142857143,0.142857143,0.015728057,0.857142857,-0.8414148,0,0,2
" بچے ، بوڑھے اور جوان چیئرلفٹ اور کیبل کار پر بیٹھ کر لطف اندوز ہوتے ہیں ",0.01369863,0,0.232876712,1.586956522,0.333333333,0.847826087,39,0,0.222222222,0.277777778,0.333333333,0.018518519,0.666666667,-0.648148148,0,0,2
 پہاڑوں کے اوپر سے گزرتی ہوئی کیبل کار سے زمین کا دلکش منظر سیاحوں کو مسحور کر دیتا ہے ,0,0,0.229885057,1.891304348,0.428571429,0.869565217,40,0.047619048,0.380952381,0.19047619,0.095238095,0.022070015,0.80952381,-0.787453794,0,0,2
